מורה,שעות חדר,יום,סמס,בהמתנה,בפעל,מכסה,"ש""ש","נ""ז",שם שעור,של,קוד שעור
"ד""ר בן ארצי גיל",15:00 - 12:00,ה,ב,0,33,42,2,3.5,ראייה ממוחשבת ועיבוד תמונה,2,7029410-01
מר טרם נקבע,17:00 - 16:00,א,ב,0,20,21,0,0,ראייה ממוחשבת ועיבוד תמונה- תרגיל,2,7029421-01
מר טרם נקבע,19:00 - 18:00,א,ב,0,13,20,0,0,ראייה ממוחשבת ועיבוד תמונה- תרגיל,2,7029422-01
מר טרם נקבע,15:00 - 12:00,ה,ב,0,28,60,2.5,4,תכנות מערכות 2,2,7020411-03
מר טרם נקבע,12:00 - 09:00,א,ב,0,44,60,2.5,4,תכנות מערכות 2,2,7020411-01
מר טרם נקבע,15:00 - 12:00,ג,ב,0,6,60,2.5,4,תכנות מערכות 2,2,7020411-04
מר טרם נקבע,12:00 - 09:00,ד,ב,0,61,61,2.5,4,תכנות מערכות 2,2,7020411-02
מר טרם נקבע,18:00 - 17:00,א,ב,0,20,20,0,0,תכנות מערכות -2 מעבדה,2,7020431-02
מר טרם נקבע,20:00 - 19:00,א,ב,0,20,20,0,0,תכנות מערכות -2 מעבדה,2,7020432-02
מר טרם נקבע,21:00 - 20:00,א,ב,0,20,20,0,0,תכנות מערכות -2 מעבדה,2,7020433-02
מר טרם נקבע,19:00 - 18:00,ג,ב,0,6,20,0,0,תכנות מערכות -2 מעבדה,2,7020431-04
מר טרם נקבע,20:00 - 19:00,ג,ב,0,0,20,0,0,תכנות מערכות -2 מעבדה,2,7020432-04
מר טרם נקבע,21:00 - 20:00,ג,ב,0,0,0,0,0,תכנות מערכות -2 מעבדה,2,7020433-04
מר טרם נקבע,20:00 - 19:00,ב,ב,0,19,20,0,0,תכנות מערכות -2 מעבדה,2,7020431-01
מר טרם נקבע,21:00 - 20:00,ב,ב,0,3,20,0,0,תכנות מערכות -2 מעבדה,2,7020432-01
מר טרם נקבע,18:00 - 17:00,ב,ב,0,12,20,0,0,תכנות מערכות -2 מעבדה,2,7020431-03
מר טרם נקבע,20:00 - 19:00,ב,ב,0,15,20,0,0,תכנות מערכות -2 מעבדה,2,7020432-03
מר סאלדמן בנימין,21:00 - 20:00,ג,ב,0,20,20,0,0,תכנות מערכות -2 מעבדה,2,7020433-01
מר טרם נקבע,21:00 - 20:00,ב,ב,0,2,20,0,0,תכנות מערכות -2 מעבדה,2,7020433-03
מר טרם נקבע,20:00 - 19:00,ג,ב,0,45,60,0,0,תכנות מערכות -2 תרגיל,2,7020424-01
מר טרם נקבע,19:00 - 18:00,ג,ב,0,29,60,0,0,תכנות מערכות -2 תרגיל,2,7020424-03
מר טרם נקבע,19:00 - 18:00,ב,ב,0,4,60,0,0,תכנות מערכות -2 תרגיל,2,7020424-04
מר טרם נקבע,19:00 - 18:00,א,ב,0,60,60,0,0,תכנות מערכות -2 תרגיל,2,7020424-02
